METRO3,FMR,ROOMS,VALUE,BEDRMS,BDRMS,BTRMS,EXTRA,FMTMETRO3
'3',956,6,40000,2,2,2,'','-5'
'5',1100,6,130000,4,4,4,'+','-5'
'5',1100,7,150000,4,4,4,'+','-5'
'5',949,6,200000,3,3,3,'','-5'
'1',988,6,260000,3,3,3,'','Central City'
'5',1125,7,170000,3,3,3,'','-5'
'5',949,5,230000,3,3,3,'','-5'
'1',1239,9,200000,5,4,4,'+','Central City'
'3',1002,7,300000,3,3,3,'','-5'
'3',1114,9,380000,4,4,4,'+','-5'
'1',1239,9,300000,5,4,4,'+','Central City'
'2',1277,6,230000,3,3,3,'','-5'
'2',993,9,150000,3,3,3,'','-5'
'2',975,5,300000,2,2,2,'','-5'
'5',794,6,60000,2,2,2,'','-5'
'4',752,4,40000,2,2,2,'','-5'
'5',794,6,290000,2,2,2,'','-5'
'5',1102,7,230000,3,3,3,'','-5'
'2',973,7,260000,3,3,3,'','-5'
'3',718,6,280000,2,2,2,'','-5'
'1',1349,7,110000,4,4,4,'+','Central City'
'2',1528,10,330000,4,4,4,'+','-5'
'2',1282,6,90000,3,3,3,'','-5'
'2',1282,7,100000,3,3,3,'','-5'
'5',949,10,260000,3,3,3,'','-5'
'2',792,7,150000,2,2,2,'','-5'
'3',1032,7,300000,3,3,3,'','-5'
'2',1217,9,150000,5,4,4,'+','-5'
'2',1058,6,180000,3,3,3,'','-5'
'1',1158,6,570000,3,3,3,'','Central City'
'1',1209,8,160000,4,4,4,'+','Central City'
'4',1058,5,210000,3,3,3,'','-5'
'1',1574,6,650000,3,3,3,'','Central City'
'3',1251,7,200000,3,3,3,'','-5'
'1',1025,7,350000,3,3,3,'','Central City'
'3',1336,8,200000,4,4,4,'+','-5'
'1',1474,4,850000,2,2,2,'','Central City'
'1',750,4,70000,2,2,2,'','Central City'
'1',1044,5,80000,3,3,3,'','Central City'
'1',1044,5,100000,3,3,3,'','Central City'
'2',1082,9,200000,4,4,4,'+','-5'
'1',1044,5,110000,3,3,3,'','Central City'
'1',1233,6,160000,4,4,4,'+','Central City'
'2',1430,6,80000,3,3,3,'','-5'
'1',1045,6,500000,3,3,3,'','Central City'
'1',726,4,110000,2,2,2,'','Central City'
'2',1302,5,170000,3,3,3,'','-5'
'1',1077,6,150000,3,3,3,'','Central City'
'3',1002,7,250000,3,3,3,'','-5'
'4',987,8,150000,3,3,3,'','-5'
'2',1130,8,320000,4,4,4,'+','-5'
'2',1019,7,300000,3,3,3,'','-5'
'4',1151,8,300000,4,4,4,'+','-5'
'1',1421,5,330000,3,3,3,'','Central City'
'1',1723,7,240000,4,4,4,'+','Central City'
'2',1528,8,150000,4,4,4,'+','-5'
'4',1151,8,300000,4,4,4,'+','-5'
'2',1528,7,330000,4,4,4,'+','-5'
'3',1957,10,700000,5,4,4,'+','-5'
'3',1363,11,1200000,5,4,4,'+','-5'
'5',1257,7,250000,4,4,4,'+','-5'
'5',1056,6,250000,3,3,3,'','-5'
'2',1693,13,450000,6,4,4,'+','-5'
'2',1302,8,300000,3,3,3,'','-5'
'2',1302,6,110000,3,3,3,'','-5'
