interval,day,week,classifier,score
51,Saturday,21,person,0.268941
73,Monday,22,person,0.310026
51,Monday,22,person,0.310026
24,Thursday,22,person,0.960834
75,Wednesday,22,person,0.450166
93,Thursday,22,person,0.331812
84,Wednesday,22,person,0.549834
39,Friday,22,person,0.310026
82,Wednesday,22,person,0.354344
85,Wednesday,22,person,0.268941
42,Sunday,23,person,0.924142
82,Thursday,22,person,0.331812
57,Wednesday,24,person,0.28905
78,Tuesday,24,person,0.768525
29,Wednesday,24,person,0.268941
70,Friday,24,person,0.268941
57,Friday,24,person,0.268941
34,Thursday,24,person,0.354344
56,Friday,24,person,0.268941
39,Saturday,24,person,0.401312
39,Saturday,24,person,0.598688
